Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
1/29/2020,14:31:34,367,76,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:34,565,77,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:34,766,78,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:34,964,79,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:35,164,80,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:35,365,81,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:35,564,82,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:35,768,83,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:35,965,84,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:36,164,85,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:36,365,86,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:36,568,87,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:36,764,88,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:36,965,89,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:37,166,90,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:37,368,91,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:37,564,92,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:37,764,93,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:37,965,94,79,80,77,77,80,79,77,77,82,77,78,80
1/29/2020,14:31:38,164,95,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:38,366,96,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:38,565,97,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:38,768,98,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:38,964,99,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:39,166,100,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:39,367,101,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:39,567,102,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:39,764,103,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:39,967,104,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:40,165,105,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:40,366,106,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:40,567,107,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:40,772,108,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:40,965,109,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:41,168,110,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:41,366,111,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:41,569,112,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:41,765,113,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:41,965,114,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:42,167,115,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:42,365,116,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:42,568,117,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:42,766,118,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:42,965,119,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:43,165,120,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:43,366,121,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:43,565,122,79,80,77,77,79,80,77,77,82,77,78,80
